City,Age,Time,Sex
Atlanta,46,25,M
Atlanta,51,25,F
Atlanta,34,45,F
Atlanta,58,6,F
Atlanta,22,1,F
Atlanta,38,15,M
Atlanta,47,30,F
Atlanta,58,25,F
Atlanta,39,45,F
Atlanta,37,45,F
Atlanta,29,22,M
Atlanta,31,30,F
Atlanta,39,30,F
Atlanta,34,1,F
Atlanta,43,60,M
Atlanta,58,20,M
Atlanta,57,45,F
Atlanta,32,15,M
Atlanta,27,30,M
Atlanta,44,30,M
Atlanta,52,45,M
Atlanta,25,30,M
Atlanta,25,63,M
Atlanta,50,31,M
Atlanta,27,35,M
Atlanta,28,15,M
Atlanta,23,30,M
Atlanta,43,20,M
Atlanta,42,65,M
Atlanta,28,6,F
Atlanta,28,12,F
Atlanta,32,60,F
Atlanta,42,34,M
Atlanta,40,25,F
St. Louis,52,20,M
St. Louis,21,40,F
St. Louis,23,45,F
St. Louis,38,2,M
St. Louis,26,25,M
St. Louis,46,12,M
St. Louis,28,15,F
St. Louis,19,15,F
St. Louis,21,10,F
St. Louis,46,25,M
St. Louis,45,2,F
St. Louis,52,20,F
St. Louis,49,37,F
St. Louis,52,20,M
St. Louis,39,40,M
St. Louis,44,30,F
St. Louis,62,21,F
St. Louis,39,36,M
St. Louis,46,16,F
St. Louis,28,8,M
St. Louis,46,31,M
St. Louis,34,30,M
St. Louis,47,10,F
St. Louis,33,20,M
St. Louis,52,13,F
St. Louis,54,20,F
St. Louis,31,26,M
St. Louis,29,10,M
St. Louis,52,20,F
St. Louis,25,10,F
St. Louis,41,10,F
St. Louis,26,20,F
St. Louis,44,11,M
St. Louis,27,3,M
St. Louis,40,25,M
St. Louis,22,25,M
St. Louis,34,19,M
St. Louis,36,30,M
St. Louis,20,15,F
St. Louis,51,30,F
St. Louis,71,15,F
St. Louis,34,20,F
St. Louis,28,15,M
St. Louis,18,30,M
St. Louis,47,15,F
St. Louis,28,40,M
St. Louis,48,30,M
St. Louis,55,46,M
St. Louis,66,7,F
St. Louis,26,5,M
St. Louis,52,2,M
St. Louis,64,15,M
St. Louis,20,10,F
St. Louis,57,35,F
St. Louis,43,7,M
St. Louis,30,30,F
St. Louis,34,21,M
St. Louis,78,20,F
St. Louis,25,25,M
St. Louis,50,25,F
St. Louis,46,11,M
St. Louis,57,35,M
St. Louis,35,45,M
St. Louis,64,10,M
St. Louis,41,20,F
St. Louis,29,16,M
St. Louis,45,31,M
St. Louis,34,5,M
St. Louis,28,30,F
St. Louis,52,25,F
St. Louis,42,30,F
St. Louis,55,16,M
St. Louis,47,31,F
St. Louis,33,10,F
St. Louis,65,15,F
St. Louis,55,3,F
St. Louis,22,10,F
St. Louis,20,15,F
St. Louis,44,40,F
St. Louis,64,45,F
St. Louis,46,10,F
St. Louis,43,30,M
St. Louis,45,35,F
St. Louis,21,20,M
St. Louis,33,30,M
St. Louis,66,21,F
St. Louis,27,20,M
St. Louis,35,25,M
St. Louis,58,15,M
St. Louis,23,20,F
St. Louis,44,45,M
St. Louis,59,6,F
St. Louis,52,5,M
St. Louis,26,10,M
St. Louis,30,30,F
St. Louis,19,5,F
St. Louis,35,30,F
St. Louis,26,20,M
St. Louis,30,2,M
St. Louis,27,30,F
St. Louis,47,10,F
St. Louis,50,15,M
St. Louis,53,30,F
St. Louis,41,14,F
St. Louis,48,10,F
St. Louis,43,16,M
St. Louis,50,10,M
St. Louis,19,40,F
St. Louis,61,2,M
St. Louis,33,15,M
St. Louis,57,45,M
St. Louis,50,16,F
St. Louis,54,10,M
St. Louis,28,30,M
St. Louis,40,10,M
St. Louis,32,10,M
St. Louis,72,16,F
St. Louis,53,45,M
St. Louis,54,45,M
St. Louis,54,30,F
St. Louis,39,40,F
St. Louis,37,15,F
St. Louis,25,25,M
St. Louis,40,57,M
St. Louis,55,21,M
St. Louis,17,10,M
St. Louis,50,20,M
St. Louis,39,10,F
St. Louis,62,7,F
St. Louis,45,30,M
St. Louis,33,35,M
St. Louis,30,75,F
St. Louis,40,26,F
St. Louis,42,45,F
St. Louis,45,10,M
St. Louis,42,45,M
St. Louis,17,15,F
St. Louis,74,25,F
St. Louis,55,20,M
St. Louis,28,10,F
St. Louis,48,16,M
St. Louis,48,6,F
St. Louis,46,45,M
St. Louis,29,15,M
St. Louis,55,30,F
St. Louis,48,35,M
St. Louis,47,20,M
St. Louis,22,40,M
St. Louis,47,60,F
St. Louis,51,30,M
St. Louis,32,15,F
St. Louis,38,10,M
St. Louis,46,15,F
St. Louis,18,20,F
St. Louis,66,45,M
St. Louis,25,15,F
St. Louis,22,25,M
St. Louis,37,30,F
St. Louis,56,12,F
St. Louis,37,20,F
St. Louis,57,25,F
St. Louis,17,30,F
St. Louis,48,10,F
St. Louis,16,15,F
St. Louis,35,15,M
St. Louis,55,20,F
St. Louis,19,15,M
St. Louis,40,6,M
St. Louis,36,15,F
St. Louis,50,25,F
St. Louis,69,31,M
St. Louis,50,35,F
St. Louis,51,31,F
St. Louis,51,40,F
St. Louis,39,5,F
St. Louis,61,30,M
St. Louis,22,6,M
St. Louis,24,20,F
St. Louis,53,15,F
St. Louis,68,5,M
St. Louis,30,16,F
St. Louis,47,25,F
St. Louis,44,25,M
St. Louis,24,10,M
St. Louis,41,21,M
St. Louis,32,20,F
St. Louis,28,5,M
St. Louis,45,21,F
St. Louis,47,66,M
St. Louis,30,40,F
St. Louis,35,15,M
St. Louis,30,20,F
St. Louis,44,30,M
St. Louis,40,20,M
St. Louis,51,20,F
St. Louis,38,15,M
St. Louis,17,11,F
St. Louis,47,40,M
St. Louis,46,35,F
St. Louis,56,41,F
St. Louis,51,5,M
St. Louis,22,16,F
St. Louis,23,5,M
St. Louis,54,10,F
St. Louis,46,25,F
St. Louis,45,25,M
St. Louis,42,41,M
St. Louis,56,45,F
St. Louis,60,20,F
St. Louis,59,105,F
St. Louis,34,20,M
St. Louis,35,25,F
St. Louis,71,30,M
St. Louis,37,30,M
St. Louis,37,10,M
St. Louis,44,30,M
St. Louis,28,15,F
St. Louis,45,26,M
St. Louis,17,20,M
St. Louis,25,15,M
St. Louis,30,5,M
St. Louis,25,30,M
St. Louis,64,11,M
St. Louis,58,3,F
St. Louis,27,46,M
St. Louis,17,15,M
St. Louis,60,15,F
St. Louis,45,26,F
St. Louis,52,15,F
St. Louis,25,8,F
St. Louis,47,20,M
St. Louis,16,20,M
St. Louis,50,35,M
St. Louis,35,31,F
St. Louis,49,15,M
St. Louis,61,10,M
St. Louis,34,30,F
St. Louis,84,5,M
St. Louis,52,76,F
St. Louis,54,10,M
St. Louis,57,35,M
St. Louis,50,46,F
St. Louis,26,35,M
St. Louis,45,30,F
St. Louis,42,7,M
St. Louis,54,36,F
St. Louis,38,20,F
St. Louis,56,7,M
St. Louis,68,5,M
St. Louis,19,25,F
St. Louis,20,5,M
St. Louis,31,26,F
St. Louis,26,5,F
St. Louis,23,25,M
St. Louis,32,131,M
St. Louis,56,45,M
St. Louis,23,25,M
St. Louis,50,5,F
St. Louis,34,10,M
St. Louis,54,41,F
St. Louis,66,45,M
St. Louis,37,30,M
St. Louis,35,25,F
St. Louis,24,2,F
St. Louis,42,15,F
St. Louis,42,35,F
St. Louis,30,36,F
St. Louis,60,10,M
St. Louis,57,15,F
St. Louis,30,35,F
St. Louis,21,6,M
St. Louis,61,15,F
St. Louis,39,20,F
St. Louis,52,20,M
St. Louis,61,20,M
St. Louis,55,8,M
St. Louis,29,15,F
St. Louis,58,16,F
St. Louis,34,45,F
St. Louis,51,26,F
St. Louis,42,30,M
St. Louis,21,16,F
St. Louis,56,20,M
St. Louis,23,45,F
St. Louis,44,4,M
St. Louis,28,15,M
St. Louis,60,26,M
St. Louis,24,20,F
St. Louis,37,2,F
St. Louis,50,45,F
St. Louis,34,16,F
St. Louis,56,20,M
St. Louis,34,15,F
St. Louis,28,50,M
St. Louis,42,45,M
St. Louis,49,40,M
St. Louis,30,5,M
St. Louis,51,11,F
St. Louis,27,45,M
St. Louis,42,35,F
St. Louis,23,15,M
St. Louis,18,5,F
St. Louis,40,15,F
St. Louis,48,10,F
St. Louis,23,15,F
St. Louis,23,20,M
St. Louis,59,31,M
St. Louis,50,20,M
St. Louis,32,20,F
St. Louis,27,45,F
St. Louis,34,15,M
St. Louis,57,31,M
St. Louis,36,5,F
St. Louis,17,16,M
St. Louis,50,25,F
St. Louis,52,10,F
St. Louis,31,4,F
St. Louis,43,9,M
St. Louis,20,10,F
St. Louis,43,15,F
St. Louis,55,5,F
St. Louis,49,39,M
St. Louis,47,15,M
St. Louis,30,45,F
St. Louis,34,45,M
St. Louis,60,16,M
St. Louis,45,5,F
St. Louis,20,15,F
St. Louis,34,45,M
St. Louis,27,3,M
St. Louis,58,25,M
St. Louis,46,15,F
St. Louis,47,10,M
St. Louis,53,15,F
St. Louis,56,10,F
St. Louis,47,15,F
St. Louis,45,40,M
St. Louis,56,26,M
St. Louis,30,30,F
St. Louis,40,20,M
St. Louis,28,75,M
St. Louis,24,20,M
St. Louis,16,5,M
St. Louis,50,35,M
St. Louis,50,40,F
St. Louis,37,16,F
St. Louis,63,45,F
St. Louis,51,35,M
St. Louis,47,30,M
St. Louis,54,10,M
St. Louis,38,40,M
St. Louis,69,15,M
St. Louis,52,16,M
St. Louis,51,16,M
St. Louis,38,40,M
St. Louis,25,41,M
St. Louis,45,15,M
St. Louis,52,3,M
St. Louis,41,16,F
St. Louis,73,21,M
St. Louis,37,30,M
St. Louis,72,2,F
St. Louis,54,16,F
St. Louis,36,20,F
St. Louis,42,40,M
St. Louis,46,45,F
St. Louis,33,20,F
St. Louis,16,7,F
St. Louis,63,10,F
St. Louis,27,15,F
St. Louis,41,15,M
St. Louis,20,15,F
St. Louis,49,21,F
St. Louis,20,30,M
St. Louis,54,20,M
St. Louis,28,30,F
St. Louis,65,14,M
St. Louis,37,10,M
St. Louis,40,21,M
St. Louis,22,31,F
St. Louis,64,31,F
St. Louis,18,20,F
St. Louis,56,14,F
St. Louis,54,21,F
St. Louis,38,11,F
St. Louis,40,10,M
St. Louis,57,10,F
St. Louis,49,20,F
St. Louis,48,25,M
St. Louis,45,12,F
St. Louis,42,15,F
St. Louis,48,13,F
St. Louis,41,25,M
St. Louis,58,10,M
St. Louis,30,1,M
St. Louis,24,10,M
St. Louis,55,11,M
St. Louis,39,15,M
St. Louis,29,5,M
St. Louis,52,35,M
St. Louis,41,5,M
St. Louis,25,30,M
St. Louis,47,30,M
St. Louis,16,10,F
St. Louis,19,15,M
St. Louis,41,20,F
St. Louis,47,20,M
St. Louis,67,20,M
St. Louis,52,8,M
St. Louis,27,25,F
St. Louis,57,10,M
St. Louis,22,20,F
St. Louis,26,41,F
St. Louis,57,35,M
St. Louis,29,20,M
St. Louis,46,30,M
St. Louis,64,21,M
St. Louis,29,30,M
St. Louis,24,20,F
St. Louis,23,10,F
St. Louis,40,15,M
St. Louis,58,10,F
St. Louis,39,17,F
St. Louis,51,45,M
St. Louis,54,40,F
St. Louis,60,30,M
St. Louis,26,45,F
St. Louis,43,35,F
St. Louis,17,11,M
St. Louis,40,15,M
St. Louis,31,25,F
St. Louis,17,21,F
St. Louis,50,31,M
St. Louis,46,26,F
St. Louis,46,1,F
St. Louis,20,3,F
St. Louis,27,6,M
St. Louis,53,36,M
St. Louis,62,15,M
St. Louis,46,36,M
St. Louis,39,30,M
St. Louis,50,15,F
St. Louis,55,10,M
St. Louis,45,40,F
St. Louis,43,30,M
St. Louis,65,20,M
St. Louis,24,11,M
St. Louis,27,21,M
St. Louis,39,7,F
St. Louis,23,5,F
St. Louis,54,15,M
St. Louis,19,15,F
St. Louis,39,35,F
St. Louis,32,17,M
St. Louis,51,30,F
St. Louis,23,20,M
St. Louis,39,30,M
St. Louis,37,10,F
St. Louis,46,31,M
St. Louis,51,28,F
St. Louis,51,2,M
St. Louis,46,12,F
St. Louis,29,45,F
St. Louis,45,25,F
St. Louis,35,15,M
St. Louis,45,15,F
St. Louis,51,20,F
St. Louis,56,20,M
St. Louis,31,20,M
St. Louis,46,20,M
St. Louis,52,35,F
St. Louis,28,50,F
St. Louis,56,20,M
St. Louis,47,15,F
St. Louis,58,25,M
St. Louis,64,11,M
St. Louis,45,10,M
St. Louis,24,16,M
St. Louis,44,21,F
St. Louis,37,10,M
St. Louis,55,20,F
St. Louis,57,40,M
St. Louis,16,17,M
St. Louis,40,40,F
St. Louis,37,26,M
St. Louis,42,21,F
St. Louis,71,20,F
St. Louis,40,40,M
St. Louis,36,31,M
St. Louis,52,5,F
St. Louis,34,45,M
St. Louis,43,15,F
St. Louis,44,15,M
St. Louis,25,31,M
St. Louis,16,20,M
St. Louis,49,16,F
St. Louis,57,5,F
St. Louis,35,5,F
St. Louis,32,30,M
St. Louis,35,10,F
